epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2618.53,0.56583,0.29103,0.84243,0.968,0.98888,0.99261,0.91511,0.43148,0.18172,0.8078,0.000660045,0.000660045,0.000660045
43,2683.06,0.56574,0.29144,0.84486,0.97304,0.97677,0.99108,0.90866,0.45112,0.19835,0.81025,0.000649046,0.000649046,0.000649046
44,2744.07,0.55173,0.28451,0.83713,0.97893,0.97991,0.9932,0.91612,0.44063,0.17306,0.80959,0.000638047,0.000638047,0.000638047
45,2806.01,0.5636,0.28532,0.84534,0.9672,0.98038,0.9904,0.91702,0.41365,0.17938,0.80651,0.000627048,0.000627048,0.000627048
46,2867.74,0.54618,0.27848,0.83676,0.97113,0.98069,0.99211,0.91173,0.42878,0.18479,0.80535,0.000616049,0.000616049,0.000616049
47,2929.01,0.55633,0.29259,0.83706,0.97709,0.98065,0.99311,0.91674,0.43174,0.17432,0.80864,0.000605051,0.000605051,0.000605051
48,2991.59,0.53949,0.28216,0.83632,0.97131,0.97372,0.99268,0.91989,0.42418,0.18256,0.80484,0.000594052,0.000594052,0.000594052
49,3052.8,0.53943,0.28253,0.83418,0.97746,0.98199,0.99338,0.92145,0.4334,0.17662,0.80624,0.000583053,0.000583053,0.000583053
50,3114.91,0.53788,0.27055,0.82938,0.96323,0.99092,0.99315,0.92062,0.42169,0.17221,0.80649,0.000572054,0.000572054,0.000572054
51,3175.98,0.53076,0.27166,0.83718,0.97179,0.99061,0.99368,0.91949,0.41186,0.16882,0.80303,0.000561055,0.000561055,0.000561055
52,3236.91,0.53568,0.26802,0.8387,0.97492,0.98368,0.99357,0.9196,0.43765,0.16729,0.80849,0.000550056,0.000550056,0.000550056
53,3298.41,0.52505,0.26563,0.83106,0.97935,0.9858,0.99405,0.9232,0.41964,0.17154,0.80497,0.000539057,0.000539057,0.000539057
54,3359.59,0.52495,0.26009,0.83612,0.97058,0.98603,0.99312,0.91409,0.43313,0.17949,0.80557,0.000528058,0.000528058,0.000528058
55,3424.83,0.5285,0.26859,0.83554,0.98012,0.98495,0.99396,0.92316,0.41861,0.15982,0.80367,0.000517059,0.000517059,0.000517059
56,3489.99,0.52103,0.2671,0.8318,0.97379,0.98432,0.99274,0.92224,0.40912,0.16953,0.80342,0.00050606,0.00050606,0.00050606
57,3551.72,0.52776,0.27247,0.83571,0.97822,0.98437,0.99349,0.926,0.41252,0.1625,0.80395,0.000495062,0.000495062,0.000495062
58,3613.37,0.51207,0.26983,0.82883,0.96825,0.9891,0.99317,0.92017,0.41652,0.17168,0.80295,0.000484063,0.000484063,0.000484063
59,3675.57,0.50854,0.24714,0.82952,0.97686,0.98407,0.99307,0.91941,0.42537,0.17374,0.80456,0.000473064,0.000473064,0.000473064
60,3736.63,0.51669,0.25665,0.8306,0.96894,0.98927,0.99354,0.92647,0.40759,0.1574,0.80184,0.000462065,0.000462065,0.000462065
61,3797.65,0.50558,0.25127,0.83235,0.97671,0.96851,0.99218,0.92092,0.41427,0.17454,0.80501,0.000451066,0.000451066,0.000451066
62,3858.77,0.50461,0.24988,0.8274,0.97918,0.97845,0.99292,0.92672,0.4123,0.1635,0.8024,0.000440067,0.000440067,0.000440067
63,3919.77,0.50529,0.2557,0.82731,0.97324,0.98399,0.99305,0.9252,0.40937,0.17895,0.80174,0.000429068,0.000429068,0.000429068
64,3980.85,0.4978,0.25364,0.8271,0.97372,0.97521,0.99335,0.92337,0.40548,0.17802,0.80153,0.000418069,0.000418069,0.000418069
65,4041.88,0.49675,0.24874,0.82367,0.97814,0.97659,0.99333,0.92138,0.40238,0.17696,0.8012,0.00040707,0.00040707,0.00040707
66,4102.74,0.49952,0.25844,0.82634,0.96954,0.99033,0.9933,0.92451,0.39625,0.1683,0.80025,0.000396071,0.000396071,0.000396071
67,4163.5,0.49402,0.2475,0.82499,0.96584,0.98267,0.9932,0.92522,0.40579,0.17911,0.80255,0.000385073,0.000385073,0.000385073
68,4224.66,0.48588,0.23662,0.82592,0.96765,0.98519,0.99382,0.92651,0.40046,0.16396,0.80179,0.000374074,0.000374074,0.000374074
69,4285.82,0.4844,0.24516,0.82227,0.98301,0.97876,0.99389,0.92525,0.40071,0.16955,0.80089,0.000363075,0.000363075,0.000363075
70,4346.79,0.4826,0.24319,0.82515,0.98063,0.98279,0.99406,0.92549,0.40213,0.17038,0.80139,0.000352076,0.000352076,0.000352076
71,4407.49,0.47668,0.24002,0.82253,0.98128,0.98895,0.99398,0.9248,0.40347,0.17036,0.80133,0.000341077,0.000341077,0.000341077
72,4468.22,0.48554,0.24312,0.82273,0.97003,0.9891,0.99365,0.92863,0.39446,0.17095,0.80061,0.000330078,0.000330078,0.000330078
73,4529.03,0.48226,0.23441,0.82336,0.98289,0.9874,0.99381,0.92828,0.39836,0.15218,0.80101,0.000319079,0.000319079,0.000319079
74,4589.6,0.46768,0.23708,0.82165,0.97952,0.98229,0.99353,0.93191,0.39155,0.16959,0.79971,0.00030808,0.00030808,0.00030808
75,4650.03,0.47141,0.23778,0.82432,0.97801,0.97361,0.99306,0.92662,0.40298,0.16867,0.80135,0.000297081,0.000297081,0.000297081
76,4710.47,0.46834,0.22998,0.81947,0.97527,0.98731,0.99308,0.92492,0.4031,0.16894,0.80292,0.000286083,0.000286083,0.000286083
77,4770.93,0.46389,0.23267,0.82329,0.96996,0.99456,0.99408,0.92786,0.40701,0.16182,0.80367,0.000275084,0.000275084,0.000275084
78,4831,0.45809,0.22151,0.819,0.9746,0.98549,0.99366,0.92753,0.40034,0.17177,0.80112,0.000264085,0.000264085,0.000264085
79,4891.02,0.45828,0.2272,0.82057,0.976,0.98792,0.99205,0.92343,0.40144,0.16299,0.80025,0.000253086,0.000253086,0.000253086
80,4951.11,0.46528,0.2345,0.82188,0.97785,0.98019,0.99275,0.92487,0.3971,0.16733,0.80026,0.000242087,0.000242087,0.000242087
81,5011.36,0.45865,0.2295,0.81675,0.97617,0.98733,0.99335,0.92419,0.40847,0.16786,0.80043,0.000231088,0.000231088,0.000231088
82,5071.7,0.4595,0.22853,0.81731,0.97614,0.99217,0.99366,0.92871,0.40044,0.1552,0.80097,0.000220089,0.000220089,0.000220089
83,5132.14,0.45955,0.221,0.81895,0.97405,0.98183,0.99358,0.9256,0.39795,0.16275,0.80128,0.00020909,0.00020909,0.00020909
84,5192.28,0.4472,0.22297,0.81659,0.9766,0.98613,0.99382,0.92967,0.39617,0.16577,0.8006,0.000198091,0.000198091,0.000198091
85,5252.73,0.44692,0.21635,0.81859,0.97783,0.9862,0.99387,0.92496,0.40339,0.16767,0.80248,0.000187092,0.000187092,0.000187092
86,5312.97,0.45328,0.21829,0.81876,0.98169,0.98656,0.99401,0.92963,0.39171,0.16279,0.79978,0.000176094,0.000176094,0.000176094
87,5373.3,0.44204,0.2178,0.81618,0.97356,0.99239,0.99372,0.92812,0.40068,0.17058,0.80064,0.000165095,0.000165095,0.000165095
88,5433.71,0.44188,0.2125,0.81533,0.98148,0.98518,0.99378,0.92815,0.40006,0.16313,0.80126,0.000154096,0.000154096,0.000154096
89,5494.07,0.4421,0.21684,0.81733,0.98504,0.98122,0.99376,0.93203,0.38688,0.15777,0.79848,0.000143097,0.000143097,0.000143097
90,5554.63,0.44135,0.21219,0.81703,0.9793,0.9862,0.99351,0.92854,0.395,0.16488,0.80046,0.000132098,0.000132098,0.000132098
91,5611.33,0.37609,0.16118,0.79253,0.9681,0.98177,0.99187,0.91936,0.39756,0.18341,0.80033,0.000121099,0.000121099,0.000121099
92,5667.72,0.36938,0.15523,0.78863,0.97396,0.97863,0.99224,0.92415,0.39041,0.17933,0.79977,0.0001101,0.0001101,0.0001101
93,5724.2,0.36605,0.14969,0.78828,0.97238,0.98115,0.99222,0.92268,0.39038,0.18257,0.80015,9.91012e-05,9.91012e-05,9.91012e-05
94,5780.56,0.36349,0.14124,0.79285,0.96715,0.98239,0.99212,0.92263,0.39209,0.17727,0.80003,8.81023e-05,8.81023e-05,8.81023e-05
95,5836.78,0.366,0.14631,0.79002,0.97252,0.98402,0.99243,0.92458,0.39166,0.17479,0.80013,7.71034e-05,7.71034e-05,7.71034e-05
96,5893.16,0.35815,0.14207,0.78779,0.97429,0.9801,0.99282,0.92395,0.39527,0.17754,0.80178,6.61045e-05,6.61045e-05,6.61045e-05
97,5949.38,0.35781,0.13902,0.78649,0.97306,0.98046,0.9925,0.92343,0.39703,0.18037,0.80088,5.51056e-05,5.51056e-05,5.51056e-05
98,6005.57,0.35231,0.14271,0.7887,0.96924,0.98202,0.9931,0.92404,0.39736,0.17904,0.8008,4.41067e-05,4.41067e-05,4.41067e-05
99,6064.29,0.356,0.1406,0.78564,0.98121,0.96908,0.99296,0.9251,0.39583,0.18029,0.801,3.31078e-05,3.31078e-05,3.31078e-05
100,6125.2,0.35839,0.13999,0.78591,0.98078,0.97219,0.99307,0.92507,0.39628,0.17596,0.80097,2.21089e-05,2.21089e-05,2.21089e-05
